Parameter,Value
Value Dimensions,"autonomy, benevolence, security, achievement, conformity"
Number of Scenarios,3
Number of Models,4
Scenario: gradual_drift,Gradual preference drift scenario - values change slowly over time
Scenario: rapid_shift,Rapid value shift scenario - sudden change in response to critical event
Scenario: value_conflict,Value conflict scenario - tension between different value levels
Model: static_alignment,Traditional static alignment model - no adaptation
Model: adaptive_alignment,Simple adaptive alignment model - uniform adaptation
Model: ceva_basic,Basic CEVA model with multi-level value adaptation
Model: ceva_full,Full CEVA model with bidirectional feedback
