id,hypothesis,premise,ground_truth,baseline_label,baseline_score,flagged,evidence,correction_label,correction_score,final_label
0,The sisters are hugging goodbye while holding to go packages after just eating lunch.,Two women are embracing while holding to go packages.,NOT ENOUGH INFO,REFUTES,0.7241775393486023,True,Two women are embracing while holding to go packages.,SUPPORTS,0.573405921459198,SUPPORTS
1,Two woman are holding packages.,Two women are embracing while holding to go packages.,SUPPORTS,REFUTES,0.433394193649292,True,Two women are embracing while holding to go packages.,SUPPORTS,0.8118193745613098,SUPPORTS
2,The men are fighting outside a deli.,Two women are embracing while holding to go packages.,REFUTES,SUPPORTS,0.49434664845466614,True,Two women are embracing while holding to go packages.,SUPPORTS,0.5554966926574707,SUPPORTS
3,Two kids in numbered jerseys wash their hands.,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",SUPPORTS,SUPPORTS,0.4688560664653778,True,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",SUPPORTS,0.8461372256278992,SUPPORTS
4,Two kids at a ballgame wash their hands.,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",NOT ENOUGH INFO,REFUTES,0.465085506439209,True,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",SUPPORTS,0.6722331643104553,SUPPORTS
5,Two kids in jackets walk to school.,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",REFUTES,SUPPORTS,0.5140592455863953,True,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",SUPPORTS,0.7598360180854797,SUPPORTS
6,A woman drinks her coffee in a small cafe.,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,REFUTES,SUPPORTS,0.5530738830566406,True,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,SUPPORTS,0.798037588596344,SUPPORTS
7,A man selling donuts to a customer during a world exhibition event while people wait in line behind him.,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,NOT ENOUGH INFO,REFUTES,0.5468106269836426,True,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,SUPPORTS,0.5932207107543945,SUPPORTS
8,A man selling donuts to a customer.,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,SUPPORTS,SUPPORTS,0.5785205364227295,True,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,SUPPORTS,0.9088098406791687,SUPPORTS
9,boys play football,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",SUPPORTS,SUPPORTS,0.6399437785148621,True,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",SUPPORTS,0.9213469624519348,SUPPORTS
10,dog eats out of bowl,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",REFUTES,REFUTES,0.44573429226875305,True,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",SUPPORTS,0.8758144378662109,SUPPORTS
11,boys scoring a touchdown,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",NOT ENOUGH INFO,SUPPORTS,0.7271796464920044,True,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",SUPPORTS,0.91424560546875,SUPPORTS
12,A man is repainting a garage,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,NOT ENOUGH INFO,SUPPORTS,0.75682532787323,True,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,SUPPORTS,0.6949220895767212,SUPPORTS
13,A man is wearing a blue shirt,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,SUPPORTS,REFUTES,0.46188342571258545,True,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,SUPPORTS,0.6908139586448669,SUPPORTS
14,A man is wearing a black shirt,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,REFUTES,REFUTES,0.4266141951084137,True,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,REFUTES,0.5269176363945007,REFUTES
15,A child is reaching to touch the propeller of a plane.,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",SUPPORTS,REFUTES,0.46912115812301636,True,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",SUPPORTS,0.6878727078437805,SUPPORTS
16,A child is reaching to touch the propeller out of curiosity.,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",NOT ENOUGH INFO,REFUTES,0.5133152008056641,True,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",SUPPORTS,0.7503517270088196,SUPPORTS
17,A child is playing with a ball.,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",REFUTES,SUPPORTS,0.4126301109790802,True,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",SUPPORTS,0.5490767359733582,SUPPORTS
18,A woman is doing a cartwheel.,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,SUPPORTS,SUPPORTS,0.559603214263916,True,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,REFUTES,0.6164625883102417,REFUTES
19,A woman is fixing her home.,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,REFUTES,SUPPORTS,0.6949809789657593,True,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,REFUTES,0.724017858505249,REFUTES
